Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
SUNTV.NS,UNKNOWN,576.4500122070312,0.658,0.5,0.395,1,28,33,38.49,3.53,1.09,38,59,22,99,19.3
JMFINANCIL.NS,UNKNOWN,169.25,0.643,0.25,0.478,0,25,46,77.57,100.26,0.73,25,76,17,116,18.8
EASEMYTRIP.NS,UNKNOWN,10.720000267028809,0.404,0.25,0.346,0,3,4,36.68,-46.82,0.48,3,17,4,20,4.4
WIPRO.NS,TECH,260.6000061035156,0.824,0.5,0.412,5,32,42,48.99,8.67,0.74,39,63,25,112,20.1
BANKBARODA.NS,BANKING,246.52000427246094,0.638,0.5,0.459,0,27,57,58.36,39.9,0.64,30,66,26,99,20.1
INDIAMART.NS,UNKNOWN,2626.699951171875,0.605,0.75,0.484,0,8,7,65.39,1.45,1.76,10,21,9,34,6.1
GODFRYPHLP.NS,UNKNOWN,9202.5,0.675,0.75,0.452,1,30,39,65.33,201.88,3.4,46,52,24,122,20.1
ASIANPAINT.NS,UNKNOWN,2398.89990234375,0.837,0.25,0.458,7,22,67,52.09,-16.86,0.59,41,62,24,124,20.1
MGL.NS,UNKNOWN,1522.800048828125,0.629,0.5,0.431,0,13,18,60.63,38.56,0.61,18,29,10,55,9.1
LTF.NS,UNKNOWN,199.77999877929688,0.621,0.5,0.403,0,21,32,67.58,67.38,0.76,35,55,14,87,14.0
JSWSTEEL.NS,METALS,1034.199951171875,0.666,0.5,0.42,1,22,77,56.95,31.57,0.56,50,57,22,97,20.1
HAPPSTMNDS.NS,ITSERVICES,631.8499755859375,0.288,0.25,0.292,1,8,0,48.31,-27.8,0.25,6,25,2,25,4.9
INDUSINDBK.NS,BANKING,865.0999755859375,0.853,0.25,0.509,5,39,68,48.06,-24.82,0.26,40,60,22,103,20.1
JKPAPER.NS,UNKNOWN,394.70001220703125,0.608,0.5,0.36,0,31,46,57.41,10.8,0.56,38,56,13,128,20.1
HIMATSEIDE.NS,UNKNOWN,152.25,0.61,0.5,0.366,0,43,41,50.12,5.87,0.41,40,53,12,116,20.1
GARFIBRES.NS,UNKNOWN,945.5499877929688,0.697,0.5,0.391,2,18,66,61.58,36.15,0.72,49,59,20,137,20.1
